OrderM49	RegionCode	RegionName	SubRegionCode	SubRegionName	Subregion2Code	Subregion2Name	CountryName	M49	ISOalpha3	LDC	LLDC	SIDS	DevelopmentStatus	QuestionID	QuestionText	Response.1
102	19	Americas	419	Latin America and the Caribbean	5	South America	Colombia	170	COL				Developing	Q00.1	Answering on behalf of	National Statistical Office (NSO)
34	2	Africa	202	Sub-Saharan Africa	17	Middle Africa	Congo	178	COG				Developing	Q00.1	Answering on behalf of	National Statistical Office (NSO)
90	19	Americas	419	Latin America and the Caribbean	13	Central America	Costa Rica	188	CRI				Developing	Q00.1	Answering on behalf of	National Statistical System (NSS)
47	2	Africa	202	Sub-Saharan Africa	11	Western Africa	Côte d’Ivoire	384	CIV				Developing	Q00.1	Answering on behalf of	National Statistical Office (NSO)
198	150	Europe	39	Southern Europe			Croatia	191	HRV				Developed	Q00.1	Answering on behalf of	National Statistical Office (NSO)
170	150	Europe	151	Eastern Europe			Czechia	203	CZE				Developed	Q00.1	Answering on behalf of	National Statistical Office (NSO)
182	150	Europe	154	Northern Europe			Denmark	208	DNK				Developed	Q00.1	Answering on behalf of	National Statistical Office (NSO)
103	19	Americas	419	Latin America and the Caribbean	5	South America	Ecuador	218	ECU				Developing	Q00.1	Answering on behalf of	National Statistical Office (NSO)
2	2	Africa	15	Northern Africa			Egypt	818	EGY				Developing	Q00.1	Answering on behalf of	National Statistical Office (NSO)
36	2	Africa	202	Sub-Saharan Africa	17	Middle Africa	Equatorial Guinea	226	GNQ				Developing	Q00.1	Answering on behalf of	National Statistical Office (NSO)
183	150	Europe	154	Northern Europe			Estonia	233	EST				Developed	Q00.1	Answering on behalf of	National Statistical Office (NSO)
185	150	Europe	154	Northern Europe			Finland	246	FIN				Developed	Q00.1	Answering on behalf of	National Statistical Office (NSO)
213	150	Europe	155	Western Europe			France	250	FRA				Developed	Q00.1	Answering on behalf of	National Statistical Office (NSO)
154	142	Asia	145	Western Asia			Georgia	268	GEO				Developing	Q00.1	Answering on behalf of	National Statistical Office (NSO)
214	150	Europe	155	Western Europe			Germany	276	DEU				Developed	Q00.1	Answering on behalf of	National Statistical Office (NSO)
200	150	Europe	39	Southern Europe			Greece	300	GRC				Developed	Q00.1	Answering on behalf of	National Statistical Office (NSO)
50	2	Africa	202	Sub-Saharan Africa	11	Western Africa	Guinea	324	GIN	1			Developing	Q00.1	Answering on behalf of	National Statistical Office (NSO)
93	19	Americas	419	Latin America and the Caribbean	13	Central America	Honduras	340	HND				Developing	Q00.1	Answering on behalf of	National Statistical Office (NSO)
171	150	Europe	151	Eastern Europe			Hungary	348	HUN				Developed	Q00.1	Answering on behalf of	National Statistical Office (NSO)
186	150	Europe	154	Northern Europe			Iceland	352	ISL				Developed	Q00.1	Answering on behalf of	National Statistical Office (NSO)
155	142	Asia	145	Western Asia			Iraq	368	IRQ				Developing	Q00.1	Answering on behalf of	National Statistical Office (NSO)
187	150	Europe	154	Northern Europe			Ireland	372	IRL				Developed	Q00.1	Answering on behalf of	National Statistical Office (NSO)
145	142	Asia	34	Southern Asia			Iran (Islamic Republic of)	364	IRN				Developing	Q00.1	Answering on behalf of	National Statistical Office (NSO)
156	142	Asia	145	Western Asia			Israel	376	ISR				Developed	Q00.1	Answering on behalf of	National Statistical System (NSS)
202	150	Europe	39	Southern Europe			Italy	380	ITA				Developed	Q00.1	Answering on behalf of	National Statistical Office (NSO)
76	19	Americas	419	Latin America and the Caribbean	29	Caribbean	Jamaica	388	JAM			1	Developing	Q00.1	Answering on behalf of	National Statistical Office (NSO)
157	142	Asia	145	Western Asia			Jordan	400	JOR				Developing	Q00.1	Answering on behalf of	National Statistical Office (NSO)
133	142	Asia	35	South-eastern Asia			Lao People's Democratic Republic	418	LAO	1	1		Developing	Q00.1	Answering on behalf of	National Statistical Office (NSO)
189	150	Europe	154	Northern Europe			Latvia	428	LVA				Developed	Q00.1	Answering on behalf of	National Statistical Office (NSO)
215	150	Europe	155	Western Europe			Liechtenstein	438	LIE				Developed	Q00.1	Answering on behalf of	National Statistical Office (NSO)
190	150	Europe	154	Northern Europe			Lithuania	440	LTU				Developed	Q00.1	Answering on behalf of	National Statistical System (NSS)
216	150	Europe	155	Western Europe			Luxembourg	442	LUX				Developed	Q00.1	Answering on behalf of	National Statistical Office (NSO)
210	150	Europe	39	Southern Europe			The former Yugoslav Republic of Macedonia	807	MKD		1		Developed	Q00.1	Answering on behalf of	National Statistical Office (NSO)
134	142	Asia	35	South-eastern Asia			Malaysia	458	MYS				Developing	Q00.1	Answering on behalf of	National Statistical Office (NSO)
18	2	Africa	202	Sub-Saharan Africa	14	Eastern Africa	Mauritius	480	MUS			1	Developing	Q00.1	Answering on behalf of	National Statistical Office (NSO)
94	19	Americas	419	Latin America and the Caribbean	13	Central America	Mexico	484	MEX				Developing	Q00.1	Answering on behalf of	Both NSO & NSS
128	142	Asia	30	Eastern Asia			Mongolia	496	MNG		1		Developing	Q00.1	Answering on behalf of	National Statistical Office (NSO)
20	2	Africa	202	Sub-Saharan Africa	14	Eastern Africa	Mozambique	508	MOZ	1			Developing	Q00.1	Answering on behalf of	National Statistical Office (NSO)
135	142	Asia	35	South-eastern Asia			Myanmar	104	MMR	1			Developing	Q00.1	Answering on behalf of	National Statistical Office (NSO)
42	2	Africa	202	Sub-Saharan Africa	18	Southern Africa	Namibia	516	NAM				Developing	Q00.1	Answering on behalf of	National Statistical Office (NSO)
224	9	Oceania	53	Australia and New Zealand			New Zealand	554	NZL				Developed	Q00.1	Answering on behalf of	National Statistical System (NSS)
191	150	Europe	154	Northern Europe			Norway	578	NOR				Developed	Q00.1	Answering on behalf of	National Statistical Office (NSO)
160	142	Asia	145	Western Asia			Oman	512	OMN				Developing	Q00.1	Answering on behalf of	National Statistical Office (NSO)
163	142	Asia	145	Western Asia			State of Palestine	275	PSE				Developing	Q00.1	Answering on behalf of	National Statistical Office (NSO)
228	9	Oceania	54	Melanesia			Papua New Guinea	598	PNG			1	Developing	Q00.1	Answering on behalf of	National Statistical Office (NSO)
108	19	Americas	419	Latin America and the Caribbean	5	South America	Peru	604	PER				Developing	Q00.1	Answering on behalf of	National Statistical Office (NSO)
136	142	Asia	35	South-eastern Asia			Philippines	608	PHL				Developing	Q00.1	Answering on behalf of	National Statistical Office (NSO)
172	150	Europe	151	Eastern Europe			Poland	616	POL				Developed	Q00.1	Answering on behalf of	National Statistical Office (NSO)
161	142	Asia	145	Western Asia			Qatar	634	QAT				Developing	Q00.1	Answering on behalf of	National Statistical Office (NSO)
150	142	Asia	145	Western Asia			Armenia	51	ARM		1		Developing	Q00.1	Answering on behalf of	National Statistical Office (NSO)
173	150	Europe	151	Eastern Europe			Republic of Moldova	498	MDA		1		Developed	Q00.1	Answering on behalf of	National Statistical Office (NSO)
174	150	Europe	151	Eastern Europe			Romania	642	ROU				Developed	Q00.1	Answering on behalf of	National Statistical Office (NSO)
175	150	Europe	151	Eastern Europe			Russian Federation	643	RUS				Developed	Q00.1	Answering on behalf of	National Statistical Office (NSO)
244	9	Oceania	61	Polynesia			Samoa	882	WSM			1	Developing	Q00.1	Answering on behalf of	National Statistical Office (NSO)
162	142	Asia	145	Western Asia			Saudi Arabia	682	SAU				Developing	Q00.1	Answering on behalf of	National Statistical Office (NSO)
58	2	Africa	202	Sub-Saharan Africa	11	Western Africa	Senegal	686	SEN	1			Developing	Q00.1	Answering on behalf of	National Statistical Office (NSO)
207	150	Europe	39	Southern Europe			Serbia	688	SRB				Developed	Q00.1	Answering on behalf of	National Statistical Office (NSO)
59	2	Africa	202	Sub-Saharan Africa	11	Western Africa	Sierra Leone	694	SLE	1			Developing	Q00.1	Answering on behalf of	Senior Statistician
137	142	Asia	35	South-eastern Asia			Singapore	702	SGP			1	Developing	Q00.1	Answering on behalf of	National Statistical Office (NSO)
208	150	Europe	39	Southern Europe			Slovenia	705	SVN				Developed	Q00.1	Answering on behalf of	National Statistical System (NSS)
43	2	Africa	202	Sub-Saharan Africa	18	Southern Africa	South Africa	710	ZAF				Developing	Q00.1	Answering on behalf of	National Statistical Office (NSO)
209	150	Europe	39	Southern Europe			Spain	724	ESP				Developed	Q00.1	Answering on behalf of	National Statistical Office (NSO)
149	142	Asia	34	Southern Asia			Sri Lanka	144	LKA				Developing	Q00.1	Answering on behalf of	National Statistical Office (NSO)
110	19	Americas	419	Latin America and the Caribbean	5	South America	Suriname	740	SUR			1	Developing	Q00.1	Answering on behalf of	National Statistical Office (NSO)
193	150	Europe	154	Northern Europe			Sweden	752	SWE				Developed	Q00.1	Answering on behalf of	National Statistical Office (NSO)
219	150	Europe	155	Western Europe			Switzerland	756	CHE				Developed	Q00.1	Answering on behalf of	National Statistical Office (NSO)
138	142	Asia	35	South-eastern Asia			Thailand	764	THA				Developing	Q00.1	Answering on behalf of	National Statistical System (NSS)
6	2	Africa	15	Northern Africa			Tunisia	788	TUN				Developing	Q00.1	Answering on behalf of	National Statistical Office (NSO)
165	142	Asia	145	Western Asia			Turkey	792	TUR				Developing	Q00.1	Answering on behalf of	National Statistical Office (NSO)
26	2	Africa	202	Sub-Saharan Africa	14	Eastern Africa	Uganda	800	UGA	1	1		Developing	Q00.1	Answering on behalf of	National Statistical Office (NSO)
177	150	Europe	151	Eastern Europe			Ukraine	804	UKR				Developed	Q00.1	Answering on behalf of	National Statistical Office (NSO)
166	142	Asia	145	Western Asia			United Arab Emirates	784	ARE				Developing	Q00.1	Answering on behalf of	National Statistical Office (NSO)
194	150	Europe	154	Northern Europe			United Kingdom of Great Britain and Northern Ireland	826	GBR				Developed	Q00.1	Answering on behalf of	National Statistical System (NSS)
117	19	Americas	21	Northern America			United States of America	840	USA				Developed	Q00.1	Answering on behalf of	National Statistical System (NSS)
140	142	Asia	35	South-eastern Asia			Viet Nam	704	VNM				Developing	Q00.1	Answering on behalf of	National Statistical Office (NSO)
29	2	Africa	202	Sub-Saharan Africa	14	Eastern Africa	Zimbabwe	716	ZWE		1		Developing	Q00.1	Answering on behalf of	National Statistical System (NSS)
